cid;hex;lac;bch;bsic;bts_date;reg;bts_place;bts_lat;bts_lon
3995;F9B;24656;6;59;15.12.2021;BM;Brno - Soběšice, příhradový stožár u haly EMS Brno, +O2;49.24696389;16.61537778
4934;1346;24606;9;0;02.07.2022;BM;Brno - Trnitá, Vlněna 526/3, Nová Vlněna budova B, indoor;49.18931111;16.61740556
4935;1347;24606;39;8;02.07.2022;BM;Brno - Trnitá, Vlněna 526/3, Nová Vlněna budova B, indoor;49.18931111;16.61740556
4937;1349;24646;26;26;22.10.2020;BM;Brno - Starý Lískovec, Palachovo náměstí 726/2, Campus Science Park, indoor;49.17552778;16.5663
4938;134A;24646;11;36;22.10.2020;BM;Brno - Starý Lískovec, Palachovo náměstí 726/2, Campus Science Park, indoor;49.17552778;16.5663
4939;134B;24646;42;51;22.10.2020;BM;Brno - Starý Lískovec, Palachovo náměstí 726/2, Campus Science Park, indoor;49.17552778;16.5663
4944;1350;24646;43;27;22.04.2020;BM;Brno - Černovice, Vlastimila Pecha 1282/12, CTPark, hala Thermo Fisher, indoor;49.17683333;16.66563889
4945;1351;24646;13;9;22.04.2020;BM;Brno - Černovice, Vlastimila Pecha 1282/12, CTPark, hala Thermo Fisher, indoor;49.17683333;16.66563889
4946;1352;24646;59;41;22.04.2020;BM;Brno - Černovice, Vlastimila Pecha 1282/12, CTPark, hala Thermo Fisher, indoor;49.17683333;16.66563889
4947;1353;24646;28;48;13.05.2020;BM;Brno - Štýřice, Pražákova 1008/69, AZ Tower, indoor;49.17581111;16.60575556
4948;1354;24646;54;58;13.05.2020;BM;Brno - Štýřice, Pražákova 1008/69, AZ Tower, indoor;49.17581111;16.60575556
4949;1355;24646;10;53;15.09.2021;BM;Brno - Štýřice, Pražákova 1008/69, AZ Tower, indoor;49.17581111;16.60575556
4950;1356;24646;56;21;22.04.2020;BM;Brno - Černovice, Vlastimila Pecha 1282/12, CTPark, hala Thermo Fisher, indoor;49.17683333;16.66563889
4952;1358;24606;26;4;12.05.2020;BM;Brno - Štýřice, Holandská 874/8, admin. budova, indoor;49.18138889;16.60555556
4953;1359;24606;52;12;04.05.2020;BM;Brno - Štýřice, Holandská 874/8, admin. budova, indoor;49.18138889;16.60555556
4954;135A;24606;42;51;04.05.2020;BM;Brno - Štýřice, Holandská 874/8, admin. budova, indoor;49.18138889;16.60555556
4955;135B;24606;30;5;04.05.2020;BM;Brno - Štýřice, Holandská 1006/10, Spielberk Tower B, indoor;49.18186111;16.60602778
4956;135C;24606;37;5;04.05.2020;BM;Brno - Štýřice, Holandská 879/4, admin. budova, indoor;49.18063333;16.60571667
4960;1360;24646;22;18;22.04.2020;BM;Brno - Černovice, Vlastimila Pecha 1282/12, CTPark, hala Thermo Fisher, indoor;49.17683333;16.66563889
4961;1361;24656;12;16;01.05.2020;BM;Brno - Královo Pole, Královopolský tunel, indoor;49.21981389;16.59605833
4962;1362;24656;55;12;01.05.2020;BM;Brno - Královo Pole, Královopolský tunel, indoor;49.21981389;16.59605833
4963;1363;24606;24;48;17.05.2020;BM;Brno - Staré Brno, Nové sady 179/2, kancelářská budova, indoor;49.18891667;16.60697222
4969;1369;24606;41;58;08.11.2021;BM;Brno - Pisárky, areál BVV, pavilon P, indoor;49.18826389;16.57504722
4970;136A;24606;22;36;04.05.2020;BM;Brno - Štýřice, Holandská 873/6, indoor;49.181;16.6058
4971;136B;24646;23;9;22.10.2020;BM;Brno - Bohunice, Netroufalky 770/16, OC Campus Square, indoor;49.1775;16.56611111
4975;136F;24606;23;62;06.05.2020;BM;Brno, náměstí Svobody 86/17, pasáž, indoor;49.19435556;16.60826667
